Watching for file changes with StatReloader
[02/May/2026 19:32:11] "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
[02/May/2026 19:32:12] "POST /api/v1/auth/login/ HTTP/1.1" 200 950
[02/May/2026 19:32:12] "OPTIONS /api/v1/notifications/unread-count/ HTTP/1.1" 200 0
[02/May/2026 19:32:12] "OPTIONS /api/v1/requests/mine/ HTTP/1.1" 200 0
[02/May/2026 19:32:12] "OPTIONS /api/v1/notifications/unread-count/ HTTP/1.1" 200 0
[02/May/2026 19:32:12] "OPTIONS /api/v1/requests/mine/ HTTP/1.1" 200 0
[02/May/2026 19:32:12] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:32:12] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:32:12] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:32:12] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:32:39] "OPTIONS /api/v1/certificates/templates/ HTTP/1.1" 200 0
[02/May/2026 19:32:39] "OPTIONS /api/v1/certificates/templates/ HTTP/1.1" 200 0
[02/May/2026 19:32:39] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:32:39] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:32:41] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:32:41] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:32:42] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:32:42] "OPTIONS /api/v1/leaves/types/ HTTP/1.1" 200 0
[02/May/2026 19:32:42] "OPTIONS /api/v1/leaves/types/ HTTP/1.1" 200 0
[02/May/2026 19:32:42] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:32:42] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:32:43] "OPTIONS /api/v1/leaves/balances/ HTTP/1.1" 200 0
[02/May/2026 19:32:43] "OPTIONS /api/v1/leaves/requests/ HTTP/1.1" 200 0
[02/May/2026 19:32:43] "OPTIONS /api/v1/leaves/requests/ HTTP/1.1" 200 0
[02/May/2026 19:32:43] "OPTIONS /api/v1/leaves/balances/ HTTP/1.1" 200 0
[02/May/2026 19:32:43] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:32:43] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:32:43] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:32:43] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:32:44] "OPTIONS /api/v1/certificates/missions/ HTTP/1.1" 200 0
[02/May/2026 19:32:44] "OPTIONS /api/v1/certificates/missions/ HTTP/1.1" 200 0
[02/May/2026 19:32:44] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:32:44] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:32:50] "OPTIONS /api/v1/notifications/ HTTP/1.1" 200 0
[02/May/2026 19:32:50] "OPTIONS /api/v1/notifications/ HTTP/1.1" 200 0
[02/May/2026 19:32:50] "GET /api/v1/notifications/ HTTP/1.1" 200 388
[02/May/2026 19:32:50] "GET /api/v1/notifications/ HTTP/1.1" 200 388
[02/May/2026 19:32:54] "OPTIONS /api/v1/notifications/ec756c34-0eee-4394-9aa9-844f46197d1d/read/ HTTP/1.1" 200 0
[02/May/2026 19:32:54] "POST /api/v1/notifications/ec756c34-0eee-4394-9aa9-844f46197d1d/read/ HTTP/1.1" 200 365
[02/May/2026 19:32:54] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:32:54] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:32:54] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:32:54] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:32:57] "GET /api/v1/notifications/ HTTP/1.1" 200 417
[02/May/2026 19:32:57] "GET /api/v1/notifications/ HTTP/1.1" 200 417
[02/May/2026 19:32:59] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:32:59] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:32:59] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:32:59] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:32:59] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:32:59] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:33:00] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:33:00] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:33:01] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:33:01] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:33:03] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:33:03] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:33:12] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:33:42] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:34:12] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:34:42] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:35:12] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:35:42] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:35:45] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:35:45] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:36:05] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:36:05] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:36:07] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:36:07] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:36:09] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:36:09] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:36:12] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:36:13] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:36:13] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:36:15] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:36:15] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:36:18] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:36:18] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:36:43] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:37:13] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:37:51] "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
[02/May/2026 19:37:51] "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
[02/May/2026 19:37:51] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:37:51] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:37:51] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:37:51] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:37:51] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:37:51] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:38:03] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:38:03] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:38:03] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:38:03] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:38:05] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:38:05] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:38:05] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:38:05] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:38:05] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:38:05] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:38:07] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:38:07] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:38:11] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:38:11] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:38:11] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:38:11] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:38:17] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:38:17] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:38:21] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:38:21] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:38:21] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:38:31] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:38:31] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:38:39] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:38:39] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:38:51] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:39:21] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:39:34] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:39:34] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:39:34] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:39:34] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:39:34] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:39:34] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:39:46] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:39:46] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:39:47] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:39:47] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:39:50] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:39:50] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:39:53] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:39:53] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:39:53] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:39:53] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:39:54] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:39:54] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:40:02] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:02] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:04] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:40:04] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:40:04] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:40:04] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:40:04] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:04] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:40:04] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:05] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:05] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:06] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:40:06] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:40:07] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:40:07] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:40:10] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:10] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:40:13] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:40:13] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:40:13] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:40:13] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:40:14] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:40:14] "GET /api/v1/leaves/types/ HTTP/1.1" 200 2001
[02/May/2026 19:40:35] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:41:05] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:41:34] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:41:43] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:41:43] "GET /api/v1/auth/profile/ HTTP/1.1" 200 360
[02/May/2026 19:41:43] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:41:43] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:41:43] "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 18
[02/May/2026 19:41:43] "GET /api/v1/leaves/types/ HTTP/1.1" 200 1029
[02/May/2026 19:41:55] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:41:55] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:41:55] "GET /api/v1/leaves/requests/ HTTP/1.1" 200 52
[02/May/2026 19:41:55] "GET /api/v1/leaves/balances/ HTTP/1.1" 200 52
[02/May/2026 19:41:57] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:41:57] "GET /api/v1/certificates/missions/ HTTP/1.1" 200 52
[02/May/2026 19:41:59] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:41:59] "GET /api/v1/requests/mine/ HTTP/1.1" 200 2
[02/May/2026 19:42:06] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
[02/May/2026 19:42:06] "GET /api/v1/certificates/templates/ HTTP/1.1" 200 7524
